tweet,label,source,label_id
With today’s new case and two additional recovered cases our total number of active cases is 96. Of those 39 are imported cases in MIQ facilities and 57 are community cases.,real,sourya,1
Nobody is found dead of corona in their homes.. They all die at the hospital.,fake,sourya,0
Trump said New Zealand had a “big surge” on the day it reported nine new COVID-19 cases. “We don’t want that” he said despite tens of thousands of new daily cases in the U.S. Trump’s claim about a “big surge” rated False. https://t.co/y3QsWUj23I,fake,sourya,0
"Use of Chloroquine for treating COVID-19 , has not been approved by the WHO - FactCrescendo | The leading fact-checking website in India",fake,Gautamshahi,0
"For our #coronawarriors
#CoronavirusIndia #IndiaFightsCorona 
@narendramodi 
We are United , and we will fight against such #ChineseVirus 
#ChinaIndiaFaceoff #BoycottMadeInChina #BoycottChineseProduct 
Are u with me?! https://t.co/B6M4WT1ece",fake,sourya,0
Hot baths can help prevent the coronavirus.,fake,sourya,0
Cases popped back up over 23k but—because of that huge number of tests—the positivity rate went back under 6%. https://t.co/UrwSEMvsa5,real,sourya,1
 Fewer than 100 people have died from COVID-19 in Ireland.,fake,Gautamshahi,0
"Did Schumer Delete a Tweet Criticizing Trump for Banning Air Travel from China ‘Prematurely’?
Pranksters no longer need spend time with Photoshop to create convincing fake tweets.




							False",fake,Gautamshahi,0
British neuroscientist Karl Friston published a study proving 80% of the population is immune to COVID-19. He also said lockdown is useless and based on faulty science,fake,sourya,0
 NYC did implement a citywide quarantine.,fake,Gautamshahi,0
"#IndiaFightsCorona An effectively implemented policy of ""TESTTRACKTREAT"" has ensured that the Active Cases are less than 1/4th of the total #COVID19 cases. Higher number of recoveries &amp; declining fatality has shown that India's graded strategy has worked. https://t.co/6Qv6qf5Iyx",real,sourya,1
Gargling with hot water cures coronavirus says a doctor from Mumbai's COVID-19 hospital.,fake,sourya,0
Tomorrow April 6 we will pass 10000 coronavirus deaths. We passed 5000 on April 2. We passed 1000 on March 26. We passed 100 on March 18.,real,sourya,1
Update from the @minhealthnz ​Today there are 3 new cases of COVID-19 to report in managed isolation and quarantine facilities in NZ. There continue to be no new cases in the community.​ Our total number of active cases is 21 - all of which remain in quarantine facilities.,real,sourya,1
OSD to Maharashtra CM Uddhav Thackeray breaks down during a press meet referring to the pathetic handling of COVID-19 by the government. He also heads the medical assistance cell,fake,sourya,0
【錯誤】網傳影片宣稱「在美的家人傳來的視頻－紐約軍隊進城了。美國政府或許怕1977年紐約大停電... 引發的搶劫、暴動再度發生，今天軍隊已經陸續進駐...」？ | 台灣事實查核中心,fake,Gautamshahi,0
House Resolution 6666 provides funds to forcibly removed people with COVID-19 from their homes as Dr. Rashid Buttar said.,fake,sourya,0
 The WHO declared COVID-19 is the abbreviation for China Outbreak Virus in December 2019.,fake,Gautamshahi,0
Saint Luke’s Hospital of USA says that consuming alcohol can reduce the risk of Covid-19.,fake,sourya,0
A video has been viewed thousands of times in Facebook posts alongside a claim it shows a Sri Lankan doctor who invented a rapid test kit for the novel coronavirus which causes the disease COVID-19.,fake,sourya,0
#CoronaVirusUpdates: 📍Total #COVID19 Cases in India (as on September 06 2020) ➡️77.32% Cured/Discharged/Migrated (3180865) ➡️20.96% Active cases (862320) ➡️1.72% Deaths (70626) Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths https://t.co/NSiP0isgu5,real,sourya,1
• There is one person receiving hospital-level care for COVID-19; they are in Middlemore and are not in ICU. ⁣ ⁣ • Yesterday our laboratories completed 5408 tests bringing the total number of tests completed to date to 250246.⁣,real,sourya,1
#IndiaFightsCorona Around 60% of the Active Cases are concentrated in only 5 most affected States. There are 13 States and UTs that even today have less than 5000 Active Cases. https://t.co/K0ZwC5yQGS,real,sourya,1
Baseless Conspiracy Theories Claim New Coronavirus Was Bioengineered - FactCheck.org,fake,Gautamshahi,0
Video shows doctors and nurses turning their back to the Health ministry of Spain as he arrives to a Hospital.,fake,sourya,0
The same weekend lag effect may or may not be at play with deaths. We'll see tomorrow if we're reaching a new lower plateau or if we're going to see higher numbers Tuesday-Friday again. https://t.co/X9evI84zMk,real,sourya,1
Fact Check: This India Today screenshot about extension of lockdown is doctored - Fact Check News,fake,Gautamshahi,0
📢#CoronaVirusUpdates: ✅India's #COVID19 recovery rate improves to 77.09% as on September 03 2020 📍Steady improvement in India's COVID-19 recovery rate since #lockdown initiation on March 25 2020 #IndiaFightsCorona @ICMRDELHI Via @MoHFW_INDIA https://t.co/4pDIEYbJ0R,real,sourya,1
 A video shows an anti-China protest amid the COVID-19 outbreak in Italy.,fake,Gautamshahi,0
 Chinese medical supplies to Ghana contaminated with coronavirus.,fake,Gautamshahi,0
Tribal leaders: You can help safeguard your communities from #COVID19 during funerals and burials. Actions like social distancing can help stop the spread of coronavirus. Learn more guidance for funerals and burials for tribal communities: https://t.co/Pg05bJ6I21. https://t.co/tU7hBtHvQl,real,sourya,1
The #COVID19Nigeria situation report for 13th May 2020 has been published Yesterday the number of discharged cases in Nigeria crossed the 1000 mark. Our daily #COVID19 situation report provides more details on this &amp; Nigeria's response Download via: https://t.co/Xo1WG4QDYT https://t.co/iII0EgbGZb,real,sourya,1
 Drinking water will prevent coronavirus.,fake,Gautamshahi,0
#IndiaFightsCorona Health Ministry urges States/UTs to Mandatorily retest all Symptomatic Negative Cases of Rapid Antigen Tests through RT-PCR. https://t.co/jIqbBmdshV @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @ICMRDELHI @mygovindia,real,sourya,1
FDA chief Hahn comments about convalescent plasma for #COVID-19 patients stirred controversy and a shake up at the agency. https://t.co/IBHW9bus13,real,sourya,1
The CDC admits COVID-19 positive result means the individual previously contracted the common cold.,fake,sourya,0
The COVID-19 cases have reached a peak and people must not go outside even for groceries.,fake,sourya,0
• Our combined total of confirmed and probable cases remains at 1504. ⁣ ⁣ • Today there is no change to the number of people recovered at 1455 representing 97% of all cases as having recovered from COVID-19. ⁣ ⁣ • There are no additional deaths to report. ⁣,real,sourya,1
“80% of #COVID19 cases show mild or no symptoms at all. These cases won’t be in isolation facilities under normal circumstances. Asymptomatic patients are primarily isolated to prevent transmission of the virus especially to their loved ones” ~ @Chikwe_I at #PTFCOVID19 https://t.co/eyFRVWHi2k,real,sourya,1
Indian media outlets claimed that a man in Madhya Pradesh's Khargone passed away from COVID-19.,fake,sourya,0
Claim: Top Georgian health official Gamkrelidze said the COVID-19 vaccine will be available in Georgia in several weeks,fake,sourya,0
48 COVID-19 positive patients from Jaamat found in Delhi's Sultanpuri area in India.,fake,sourya,0
There were a further 3395 cases of #coronavirus in the UK as of 9am on Thursday. Follow latest #COVID19 updates 👇 https://t.co/NyZLPJyfxM,real,sourya,1
"No, hot steam and tea can’t cure Covid-19 | Africa Check",fake,Gautamshahi,0
Kenya governor quotes non-existent WHO research to defend alcohol donations | AFP Fact Check,fake,Gautamshahi,0
" A Facebook video claimed that sobolo, a herbal tea, could cure the novel coronavirus.",fake,Gautamshahi,0
Continuous Use Of Hand Sanitizers Causes Cancer,fake,sourya,0
"Mask wearers beware. A caller to a radio talk show recently shared that his wife was hospitalized and told she had COVID and only a couple of days left to live. A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long. Turns out it WAS legionnaires disease from the moisture and bacteria in her mask. She was given antibiotics and within two days was better. WHAT IF these ""spikes"" in COVID are really something else due to mask-wearing?? Copied and pasted - and checked - it's true!",fake,sourya,0
"The uncomfortable truth is that Donald Trump left America exposed and vulnerable to this pandemic. He ignored the warnings of health experts and intelligence agencies and put his trust in China's leaders instead. Now, we're all paying the price.

Let me explain how we got here: https://t.co/esvCaGki9V",fake,sourya,0
Coronavirus Cancels Billions of Man-Hours of Pointless Military Bullshit https://t.co/RzXEsqw0I7,fake,sourya,0
President Trump's Facemask Speaks Out https://t.co/IxOXzQzRsm #donaldtrump #coronavirus #covid19 #facemasks,fake,sourya,0
As at 08:00 pm 1st April there are 174 confirmed cases 9 discharged 2 deaths For a breakdown of cases by states- https://t.co/zQrpNeOfet Currently; Lagos- 91 FCT- 35 Osun- 14 Oyo- 8 Ogun- 4 Edo- 4 Kaduna- 4 Bauchi- 3 Enugu- 2 Ekiti- 2 Rivers-1 Benue- 1 Akwa Ibom- 5,real,sourya,1
The #COVID19Nigeria situation report for 3rd August 2020 has been published. Today's cumulative discharged cases includes 10946 recovered #COVID19 patients in Lagos State whom were being managed at home. Read via: https://t.co/Xo1WG4QDYT #TakeResponsibility https://t.co/ZqlCYw5xVU,real,sourya,1
Former Indian cricketer and Uttar Pradesh Cabinet Minister Chetan Chauhan has passed away due to coronavirus related complications. With 53322 recoveries in the past 24 hours India’s recovery rate from the coronavirus infection improves to 72%. #CoronaUpdate #vaccines https://t.co/4GmMOjYduh,fake,sourya,0
Coronavirus: North East faces tighter lockdown restrictions from Friday https://t.co/lEtXbC20XJ,real,sourya,1
Lately with protests continuing to flare nightly in Portland PolitiFact has been seeing lots of claims that Black Lives Matter protests are antifa anarchists COVID-19 spreaders and now “Marxist.” https://t.co/ipLCeVVlj9,fake,sourya,0
And if we can work together we can ensure that all essential workers are protected and proven treatments like dexamethasone are available to those who need them-@DrTedros #COVID19 https://t.co/TdOBZsioOF,real,sourya,1
Post claims that sister of Bharatiya Janata Party leader Kapil Mishra married a Muslim man,fake,sourya,0
 A video of Italian politician Sara Cunial blasting Bill Gates as a “vaccine criminal” in speeches to parliament has been viewed tens of thousands of times on Facebook and YouTube.,fake,Gautamshahi,0
RT @RidgeOnSunday: 'You want children to be prioritised?' @Keir_Starmer says the government should prioritise #coronavirus tests for child…,real,sourya,1
Another reason is the casual attitude of people towards #COVID_19 as people are seen in crowded places without any taking any precautionary measures such as wearing a #facemask maintaining #SocialDistancing etc. resulting in people getting infected with the #novel #coronavirus.,real,sourya,1
Fact Check: Audio Of Biden Calling Coronavirus A 'Hoax' WAS Manipulated | Lead Stories,fake,Gautamshahi,0
"Israel applied ""vertical lockdown"" (younger not at risk people are allowed to carry on their daily routines) and has the lowest death rate for COVID-19 in the world.",fake,sourya,0
#IndiaFightsCorona 60% of the total #COVID19 cases are reported from only five States. These States have also reported maximum new recoveries in the past 24 hours. https://t.co/bXnTAadYCf,real,sourya,1
???Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA??�,fake,sourya,0
"""Wrong"" COVID-19 case count by Orlando Health ""explains the 'outbreak' in Florida.""",fake,sourya,0
The Brazilian state of Ceará had more deaths from respiratory diseases in 2019 and 2018 than in 2020.,fake,sourya,0
We just updated the race and ethnicity data in the COVID Racial Data Tracker and we're happy to report progress. Only four states do not report some kind of race/ethnicity data. They are: North Dakota Nebraska Nevada and South Dakota. https://t.co/hTyV0MA5tA,real,sourya,1
Scientists ask: Without trial data how can we trust Russia's #COVID vaccine?https://t.co/gArcUf0Pji https://t.co/0bdcA7lf56,real,sourya,1
"Smoking could increase your risk of developing severe coronavirus illness, WHO says | AFP Fact Check",fake,Gautamshahi,0
Our total number of confirmed cases to 1184 which is the number we report to the World Health Organization.,real,sourya,1
Number of covid-related deaths has fallen since federal police started an investigation on the number of deaths,fake,sourya,0
" Chlorine dioxide kits sold online under various “MMS” names — Miracle Mineral Solution, Miracle Mineral Supplement, Master Mineral Solution — will cure the coronavirus.",fake,Gautamshahi,0
"Canadian government scolds citizens for not fully embracing its half-measures
#COVID19
https://t.co/az6YElwPq5",fake,sourya,0
President Donald Trump implemented “a travel ban that just didn't work 400000 people got in from those countries that were subject to the restrictions.”,fake,sourya,0
Update from @minhealthnz Today there are no new cases of COVID-19 to report. It has now been 87 days since the last case of COVID-19 was acquired locally from an unknown source.,real,sourya,1
" The photo shows a letter, purportedly from the California Department of Social Services, that mandates coronavirus testing for participants of state assistance programs and warns that children may be removed from the household if someone tests positive.",fake,Gautamshahi,0
Last Monday cases hit their lowest daily total since March. Today the case number is up a couple thousand cases from last week though still under 20k. https://t.co/1yPAyScLXL,real,sourya,1
_A video has been viewed tens of thousands of times in multiple posts on Facebook and Twitter in April 2020 alongside a claim it shows the arrest of Indian activist Trupti Desai after she attempted to buy alcohol during a government-imposed lockdown triggered by the COVID-19 pandemic._,fake,sourya,0
#IndiaFightsCorona: These high levels of recovery have resulted in a 100% increase in the number of recovered cases in the past 30 days. @ICMRDELHI #StaySafe #IndiaWillWin https://t.co/YTPQCIuQJH,real,sourya,1
" A video has been viewed more than 100,000 times in multiple posts on YouTube, Facebook and Twitter in which a purported Philippine doctor claims ingesting semen could cure a patient infected with the novel coronavirus, citing a 2016 scientific study.",fake,Gautamshahi,0
" A video has been viewed tens of thousands of times in multiple posts on Facebook, Twitter and Instagram alongside a claim it shows UK Prime Minister Boris Johnson offering cups of tea to journalists after recovering from an illness. The posts were shared shortly after Johnson returned to work following hospital treatment for COVID-19.",fake,Gautamshahi,0
"???We were slow with the testing, but very quick with the travel ban. And that's been much more critical in saving lives.??�",fake,sourya,0
"@WhatTheBit no, but there is 7 different coronavirus that we know of

MERS-CoV, SARS-CoV , SARS-CoV-2 (Covid19)
and 229E(also infects bats), NL63, 
OC43 (also infects cattle) and HKU1
the last 4 coronavirus are so common its likely EVERYONE will have caught it in their lifetime",fake,sourya,0
The COVID Racial Data Tracker lets you break down the numbers by race and ethnicity which is crucial for understanding what's happening with the pandemic in the US: https://t.co/hTyV0MA5tA,real,sourya,1
There is a need to ensure access to controlled medicines such as sedatives and analgesics for intubation protocols for the treatment of patients with #COVID19. More: https://t.co/fnAOQPlBeL https://t.co/G32A73ZOog,real,sourya,1
 A picture showing dead Italian doctors in an operating theater after succumbing to COVID-19.,fake,Gautamshahi,0
#IndiaFightsCorona: A group of scientists is working on genomic sequences of SARS-CoV-2 to identify genetic variability &amp; potential molecular targets in virus &amp; human to find the best possible answer to combat the #COVID19 virus. #StaySafe #IndiaWillWin 1/2 https://t.co/d7oiT1siwC,real,sourya,1
The government raided The Medical City and other private hospitals taking away their personal protective equipment (PPE).,fake,sourya,0
All countries on the continent now have lab testing capacity for #COVID19 compared with just 2 at the beginning of the pandemic.-@DrTedros #RCAFRO70 https://t.co/Y1bilM2S3t,real,sourya,1
Deaths rose today in our dataset by 2194 to 47980. ***Note*** New York City is reporting 4453 more confirmed and probable COVID-19 deaths than the state government is for the city. If you add those deaths into our dataset our count (52k) falls between the CDC and JHU. https://t.co/dznPM4bhln,real,sourya,1
If COVID-19 does get into the community it could spread very quickly from large gatherings as we’ve seen at other large gatherings such as weddings and parties.⁣ ⁣ For this reason people in managed isolation can no longer leave isolation to attend a funeral or tangihanga.⁣,real,sourya,1
#NCDCFactCheck Remember there is NO specific cure for #COVID19. Some trial drugs show promising results but are yet to be validated for use. In Nigeria use of hydroxychloroquine is ONLY limited to clinical trials. Please #TakeResponsibility and avoid self-medication. https://t.co/G3LW8OTvc7,real,sourya,1
@couch_maria @butchthorne @ConservVoice @tony80554056 @pjpaton @Smileygirl19683 @Julie34479 @VMaledew @NormanBrennan @RicciGeri @geraintmeysydd Dr. Yan presented evidence Covid 19 is a sophisticated bioweapon created by the Chinese Communist Party using funds Obama channelled through Dr. Faucci&amp; his NIH breaking U.S. law.,fake,sourya,0
Paraguay’s Ministry of Health is not following up people who are related to confirmed cases of coronavirus.,fake,sourya,0
"Ramnavmi celebrations in Akbarpur, UP, today.But we should only bash Tabligi Jamat of Nizamuddin Makraz.",fake,sourya,0
Huge job loss for doctors dentists from COVID. https://t.co/1TGno9HMCT,real,sourya,1
Trump Virus Infects Entire White House https://t.co/bQpdM8Ma1K #donaldtrump #2020presidentialelection #dranthonyfauci #covid19,fake,sourya,0
"Coronavirus Patients Viral Video Fact Check: Bodies of COVID-19 Patients Dumped in Sea? No, Video is From 2014",fake,Gautamshahi,0
The novel coronavirus can be cured by one bowl of freshly boiled garlic.,fake,sourya,0
" “Now, they’re doing tests on airlines — very strong tests — for getting on, getting off. They’re doing tests on trains — getting on, getting off.”",fake,Gautamshahi,0
 Mosquitoes can spread COVID-19 “from person to person.”,fake,Gautamshahi,0
"Local woman joins dating apps in hopes of having pandemic love story

https://t.co/RgRLm6uEHn",fake,sourya,0
That brings New Zealand’s total number of active cases to 14 all are in managed isolation or quarantine facilities. There are no cases in the community.  NZ's total number of confirmed cases of COVID-19 is now 1170 which is the number we report to the WHO.,real,sourya,1
Thus enhanced and timely TESTING is not only keeping the Positivity Rate low but also the Fatality Rate low.,real,sourya,1
COVID-19 is a thrombosis caused by bacteria. The cure was found in Italy.,fake,sourya,0
📢#CoronaVirusUpdates: ✅India's #COVID19 recovery rate improves to 76.24% as on August 27 2020 📍Steady improvement in India's COVID-19 recovery rate since #lockdown initiation on March 25 2020 #IndiaFightsCorona #IndiaWillWin #StaySafe @ICMRDELHI Via @MoHFW_INDIA https://t.co/MSpybaljbd,real,sourya,1
 Drinking water and keeping your throat moist can prevent the novel coronavirus from attaching to your throat.,fake,Gautamshahi,0
Healthcare professionals: #DYK CDC offers trainings on clinical care and infection control PPE NPIs and emergency preparedness and response specific to COVID-19? Find recently recorded #COVID19 webinars and online courses: https://t.co/QXc899JFYh. https://t.co/qbEmkwHdO4,real,sourya,1
Indian authorities refute 'fake' claim about food markets closing in Chennai during COVID-19 lockdown | AFP Fact Check,fake,Gautamshahi,0
 Anthony Fauci was on the Clinton Foundation board for 20 years and “currently serves on Gates Foundation.”,fake,Gautamshahi,0
 Muslim women are misbehaving with doctors in India.,fake,Gautamshahi,0
RT @CDCGlobal: Even if countries are under restrictions due to #COVID19 people with #HIV must continue to receive their medication. Learn…,real,sourya,1
@CryptoWalter_ There is a provision Rs. 50 lakhs as insurance under PM Garib Kalyan Package to the family of a frontline healthcare worker who passed away due to #COVID19: https://t.co/7ugCXToQO8,real,sourya,1
As of July 6: In the last 7 days 9 states have reported more than 10000 new #COVID19 cases. Wear cloth face coverings keep 6ft+ between yourself and others and wash your hands often. Interested in data from your state? See the COVID Data Tracker: https://t.co/4Ku7nKLZCq https://t.co/HMPsgMSgrl,real,sourya,1
VERA FILES FACT CHECK:  This is NOT a photo of a COVID-19 patient’s throat - Vera Files,fake,Gautamshahi,0
World Health Organization says COVID-19 means ‘coronavirus disease 2019’ – not 'China outbreak virus' | AFP Fact Check,fake,Gautamshahi,0
" Two audio clips stating that the Mumbai police commissioner is going to enforce strict actions during the 21-day lockdown in India and that there will be a spike in cases after March 27, 2020.",fake,Gautamshahi,0
_A video has been viewed millions of times in multiple posts on Facebook Weibo and Twitter alongside a claim it shows US Vice President Mike Pence delivering empty boxes to a hospital for a publicity stunt during the coronavirus crisis. The claim gained traction online after the the clip was aired on the US television show Jimmy Kimmel Live! hosted by comedian Jimmy Kimmel._,fake,sourya,0
Nashville Man Feels for Those Who Had Lives before Coronavirus https://t.co/DgWlBGXEHq #coronavirus #nashville #family #covid19,fake,sourya,0
"NEW: In an interview with Fox News President Trump repeated the claim that ""only 6%"" of coronavirus deaths were due to COVID-19. That's Pants on Fire false. https://t.co/Ldttt2FPwL",fake,sourya,0
In Kenya the National Council For Persons With Disabilities,fake,sourya,0
@shriduttrao Currently there is no evidence that COVID-19 is spreading by handling or eating food. Kindly refer to the SOP on preventive measures in Restaurants to contain the spread of COVID-19. https://t.co/OxcyMGC7T2,real,sourya,1
Using a non-dominant hand to open doors is a way to prevent coronavirus.,fake,sourya,0
 Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,fake,Gautamshahi,0
The updated #PUI definition for #COVID19 accounts for the new geographic spread of the virus &amp; includes a list of affected areas w/ widespread or sustained community spread &amp; will likely be revised. https://t.co/VJ6DDNlasm.,real,sourya,1
• The total number of tests completed to date is 230718 and there have been 2570 lab tests processed​ • This will include a review of the pandemic and the response to it,real,sourya,1
 A photo of a room lined with coffins shows Italian nationals killed during the novel coronavirus pandemic in 2020.,fake,Gautamshahi,0
That said experts think we need much much more testing. For example @HarvardGH thinks we need a minimum of 500000 tests per day. We've come a long way but we're not there yet. And other expert groups think we need millions of tests per day. https://t.co/2Ptlz1kMBq,real,sourya,1
#CoronaVirusUpdates #IndiaFightsCorona Cumulative testing reaches 20864750 samples. Tests per Million (TPM) improves to 15119. 28 States/UTs are conducting more than 140 tests/day/million. https://t.co/1aUfDSFiul,real,sourya,1
VERA FILES FACT CHECK: Video claiming drinking water with salt kills novel coronavirus NOT TRUE - Vera Files,fake,Gautamshahi,0
Our daily update is published. Mondays are now the day where the weekend lag shows up most acutely. States reported 735K tests 58K cases and 365 deaths (last Monday: 327). https://t.co/kprzMhy5Pp,real,sourya,1
"President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves and ventilaors [sic] to China Europe and Russia to avoid the tax.”",fake,sourya,0
"Claims made in the viral video Plandemic include: that the virus was ""manipulated"" in a laboratory setting; that hydroxychloroquine is ""effective against these families of viruses"" and that wearing a mask ""activates"" the virus.",fake,sourya,0
Old and unrelated video viral as Chinese reading the Quran - FactCrescendo | The leading fact-checking website in India,fake,Gautamshahi,0
Officials are skeptical that supply won’t address demand during a second wave of #COVID. https://t.co/BsX3e415oX,real,sourya,1
The first case we are reporting today is a male teenager who arrived from the USA on July 29. He tested positive for COVID-19 as part of routine testing around day 3 of his stay in managed isolation at the Sudima Hotel in AKL and has since been transferred to quarantine.,real,sourya,1
" In 1986, the founder of the Times Square Church prophesied that he saw “a plague coming on the world and the bars and church and government will shut down,” with New York City especially hard hit..",fake,Gautamshahi,0
 President Trump posted a tweet blaming President Obama for failing to prepare him for a pandemic and celebrating that there are still more people alive than dead.,fake,Gautamshahi,0
117 new cases of #COVID19 have been reported; 59 in Lagos 29 in FCT 14 in Kano 6 in Borno 4 in Katsina 3 in Ogun 1 in Rivers 1 in Bauchi As at 11:25 pm 21st April there are 782 confirmed cases of #COVID19 reported in Nigeria. Discharged: 197 Deaths: 25 https://t.co/i6UaoqWHiu,real,sourya,1
???We inherited a broken test??� for COVID-19.,fake,sourya,0
Note that Oklahoma reported positive tests but not negative or total tests today. This almost certainly does not mean OK has a 100% positive rate. It’s a reporting delay.,real,sourya,1
Some reporters visited the British Prime Minister Boris Johnson after he recovered from his illness. His home looks like an old abandoned military hut with very old brick walls. The living room was too small so brought out the tea tray for the reporters. All the cups are different. He met them with disheveled hair and casual clothes but with the confident smile of a Prime Minister,fake,sourya,0
Update from the @minhealthnz ​ There are no new cases of COVID-19 to report in New Zealand today. ​ ​ The number of active cases in New Zealand remains at 18 all of which are in managed isolation or quarantine facilities. There are no cases of COVID-19 in the community.,real,sourya,1
Coping With Coronavirus Boredom https://t.co/2SqdSukMrz #quasimodo #beavercrossing #hobson’schoice,fake,sourya,0
RT @MoHFW_INDIA: #IndiaFightsCorona Unprecedented upsurge in #COVID19 testing. India touches a new peak of 4 cr tests. @PMOIndia @drhars…,real,sourya,1
Mondays numbers normally show some weekend lag. And today is no different. States reported 16k new cases about the same as last Monday. The 7-day average basically stayed the same. https://t.co/7J9qHvx59B,real,sourya,1
"NEWS! Hating Donald Trump confers immunity to Coronavirus, insist Londoners https://t.co/9l2FbOmAiF https://t.co/53b3QJvJkR",fake,sourya,0
Says imposters in hazmat suits are going door to door in Stockton California saying they are checking residents for fever or COVID-19 but they “will enter your home and physically attempt robbery.”,fake,sourya,0
